isoform	mean_tumor_iso_pct_brca	mean_normal_iso_pct_brca	mean_iso_pct_diff_brca	pval_brca	n_samps_brca	padj_brca	mean_tumor_iso_pct_luad	mean_normal_iso_pct_luad	mean_iso_pct_diff_luad	pval_luad	n_samps_luad	padj_luad	mean_tumor_iso_pct_hnscc	mean_normal_iso_pct_hnscc	mean_iso_pct_diff_hnscc	pval_hnscc	n_samps_hnscc	padj_hnscc
ZBTB44-2	0.1144062549504578	0.06848805722609655	0.045918197724361245	3.2272305951611526e-06	112.0	3.868967253739175e-05	0.11619024506100382	0.03646696047052676	0.07972328459047708	2.4316127131702015e-13	105.0	1.4303604195118831e-11	0.1452826266365889	0.15026730787488157	-0.00856247428293274	0.9802612870953453	42.0	0.9886395886944508
ZBTB44-3	0.41006434045681556	0.43517758032881915	-0.025113239872003586	0.0231926732733168	112.0	0.06872147222746995	0.38578837188134163	0.4596090415147356	-0.07382066963339401	2.290896514694028e-07	105.0	2.6951723702282677e-06	0.23812928702666084	0.28547395790540875	-0.04262449567503458	0.08916850602281556	42.0	0.2811190304383422
ZBTB44-4	0.04473800243129773	0.02364267565663447	0.021095326774663265	0.0038304819779565423	112.0	0.015133305693214673	0.04645924464826501	0.00629537900494742	0.04016386564331758	9.34956173276119e-08	105.0	1.1834888269317963e-06	0.07549862161151717	0.06454569896020614	0.009416120295115646	0.419599489772297	42.0	0.6533286443710596
ZBTB44-5	0.032863504297525305	0.01208119600747865	0.02078230829004665	0.0010931059423845782	112.0	0.00540336254932282	0.029186853491049138	0.01871372478445018	0.010473128706598956	0.09794359156609111	105.0	0.18763140146760748	0.06783498719687693	0.028097473743887224	0.03906852598289715	0.008363641654768519	42.0	0.05948804373775563
ZBTB44-6	0.02017055207435223	0.008360538119080035	0.011810013955272192	0.0001722157869197074	112.0	0.0010820546129955112	0.020224385264969717	0.007080455429149304	0.013143929835820418	6.991992428737018e-05	105.0	0.00041372736264716085	0.037991473969572365	0.02030606141558843	0.017201934901231834	0.21715445624158725	42.0	0.4634872890324317
ZBTB7B-1	0.24484576667671692	0.2547912244076272	-0.009945457730910259	0.3236115621143584	112.0	0.5067970860139276	0.16241800889431068	0.2000778180711744	-0.03765980917686366	1.1868106506063599e-07	105.0	1.447330061715073e-06	0.15789774842638143	0.2600668968345095	-0.10216914840812807	1.3019644029554911e-08	43.0	2.1508451936824715e-06
ZBTB7B-2	0.7551542333232832	0.7452087755923728	0.009945457730910262	0.3236115621143584	112.0	0.5067970860139276	0.8375819911056892	0.7999221819288255	0.03765980917686367	1.1868106506063599e-07	105.0	1.447330061715073e-06	0.8421022515736187	0.7399331031654905	0.10216914840812803	1.3019644029554911e-08	43.0	2.1508451936824715e-06
ZFP1-1	0.007128886051760027	0.005271117207832266	0.0018577688439277618	0.8373579070370916	112.0	0.915909116912908	0.0012000353438472353	0.002227031960178016	-0.0010484103851786464	0.37026127045291435	104.0	0.5000248113037227	0.0015072891960564282	0.00456407227679585	-0.003193130561651243	0.17629637444051116	39.0	0.42533673573081315
ZFP1-2	0.012571563687294174	0.010229702823353016	0.002341860863941155	0.7389652795651248	112.0	0.84696789734772	0.004103599245432431	0.0034141677669604553	0.0006566029422512017	0.829329182521754	104.0	0.8827767789243871	0.005180384381955576	0.010646352714111258	-0.005647501254412563	0.39053287003351767	39.0	0.6275878417270148
ZFP1-3	0.09366288971221319	0.10764772157620424	-0.013984831863991047	0.4389786048459835	112.0	0.6254553386182271	0.056244242289114274	0.05720973722801542	0.000645248942259174	0.7877882565525602	104.0	0.8609707721885904	0.13233264998791716	0.16839887533899583	-0.04549127728000869	0.17790738330384115	39.0	0.42533673573081315
ZFP1-4	0.01586231099765523	0.01807649399536553	-0.0022141829977102975	0.2427504923491659	112.0	0.42057934139564784	0.01571151725629347	0.01099666778533296	0.004609112280716922	0.12040890240049057	104.0	0.22174751823294764	0.019601357844235567	0.018984022375950663	0.00017145167814640582	0.6663782173486559	39.0	0.820310592444098
ZGPAT-1	0.8049169290967093	0.788950290463259	0.01466919338658485	0.04521852741155669	110.0	0.11761327703305145	0.7880836221600332	0.803640544484136	-0.01661938495549136	0.04137763679075717	104.0	0.09682981734946385	0.8277936589452068	0.836867025360935	-0.01108296130970161	0.22295411566210532	42.0	0.47099769702531713
ZGPAT-2	0.059704335495046605	0.05283774393896543	0.00762902882745068	0.018546266160859325	110.0	0.05672655602866943	0.07673051396430894	0.07393906134534951	0.0029814856861603133	0.40461832453347657	104.0	0.5296876322458551	0.07228045522462563	0.06208275588086376	0.010090567694552239	0.17073357272920475	42.0	0.4201787125248102
ZKSCAN1-1	0.1045067602505381	0.1059858790170068	-0.001479118766468704	0.33367327546612313	112.0	0.5133056435267941	0.094477533343959	0.11622409168753252	-0.0217465583435735	0.07471311521028562	105.0	0.15346098214760265	0.1124008741776105	0.07668879070456187	0.03571208347304861	0.01002407081682577	43.0	0.0646865819898288
ZKSCAN1-2	0.2660107843503542	0.18693455523278718	0.079076229117567	0.007371308917896939	112.0	0.026239847103639954	0.20908151787466894	0.24066910104143133	-0.031587583166762336	0.0603639556890836	105.0	0.1306579127469342	0.08719831904345172	0.09575765213343944	-0.008559333089987704	0.9096144707582425	43.0	0.9513783311584373
ZKSCAN3-1	0.08313643367099459	0.07282207677262434	0.010080923060938102	0.03528266369270473	111.0	0.0948448923492037	0.09551562123035318	0.07766974605545385	0.014127910370035149	0.10464634415450377	92.0	0.19894742234696533						
ZKSCAN3-2	0.07935586305517736	0.04347377538944476	0.035490432031593445	0.0016719302101131806	111.0	0.007784925040839497	0.035105786471824184	0.02452318240248012	0.010123277715615617	0.4302606383735702	92.0	0.5523243111342364						
ZNF101-1	0.042665145652877955	0.027038552571924526	0.015213540473166157	0.02692607134780686	111.0	0.07673194649115452	0.03981075737571481	0.036541641580574796	0.0032691157951400137	0.7908076179984374	105.0	0.8633270938847569	0.029862128419569558	0.030706717127847814	-0.0006067972438342934	0.671430517858312	39.0	0.8229201504608643
ZNF101-2	0.21927374415396456	0.2996554782815202	-0.07840629499103341	0.003176888643056145	111.0	0.013118243001188183	0.12159590999331255	0.18478993584640843	-0.06319402585309589	0.009034606011963353	105.0	0.028410710729444504	0.14120259085455045	0.07482735684154397	0.05758406434261534	0.1887500729032935	39.0	0.43307655616144564
ZNF124-1	0.1390906119518905	0.10287137096310599	0.03621924098878453	1.3598256317680048e-06	112.0	1.750985350535838e-05	0.12211427932492179	0.0884489757762297	0.03450252333190223	6.327333216101585e-09	104.0	1.1298809314467116e-07	0.11434675016708193	0.09242790831162705	0.03124766603075075	0.006894533988088369	32.0	0.05325447324975029
ZNF124-2	0.4520442163806821	0.37119632963596855	0.08084788674471355	4.509829736126701e-09	112.0	8.875004556188962e-08	0.40703002855376635	0.38050721270750487	0.02598779811853776	0.01760918188026997	104.0	0.04733651043083325	0.405203775553288	0.4030695974146032	0.007100192367964978	0.9632332162000239	32.0	0.983924893713588
ZNF124-3	0.008859370671456063	0.0071459844976122944	0.0017133861738437676	0.7118942683449303	112.0	0.8399385994160207	0.0038354464800751755	0.005552718443372388	-0.0009861781205984463	0.7651984444971875	104.0	0.8408774115353709	0.010936288405812488	0.018839204416695544	-0.008046182504277015	0.463071015014588	32.0	0.6765184578194879
ZNF124-4	0.12397280916150244	0.14491338461340583	-0.02094057545190339	0.00011694168789773922	112.0	0.0007869043901764	0.16231028510879641	0.15464492392431867	0.007932967821077105	0.8788620332944198	104.0	0.9145286506705722	0.12907658254503182	0.11032060380371654	0.01956027333917193	0.30378718534484506	32.0	0.5517862726205622
ZNF131-1	0.4612052725637489	0.4594664118870108	0.0017388606767379977	0.5832174401540245	112.0	0.7502104448403228	0.4316845003403902	0.4287943067020191	0.0028901936383709547	0.7601412208637112	105.0	0.8365017663384294	0.46602600125501814	0.4386906073398927	0.02564642181705204	0.1482689788308562	42.0	0.3901651456865832
ZNF131-2	0.18856653781512592	0.20476043228027802	-0.016193894465152108	0.0531767253209924	112.0	0.1362735245940911	0.1848539848118882	0.20364819234630888	-0.018794207534420702	0.010399848574854315	105.0	0.031230776501064008	0.1952732577834156	0.2125632663542897	-0.014535301607476694	0.1972741069329843	42.0	0.4400575916178577
ZNF131-4	0.008409129761418504	0.009024125328811217	-0.0006149955673927111	0.583434174137105	112.0	0.7502104448403228	0.010562576912567952	0.008139883418556844	0.0024226934940111103	0.09055701662161245	105.0	0.17618096618990747	0.013988645388377312	0.00903706100354505	0.005284647370269818	0.13535690010210896	42.0	0.3677789456721776
ZNF131-5	0.34181905985970673	0.32674903050389986	0.015070029355806825	0.44515180964905676	112.0	0.6291237635013092	0.3728989379351537	0.35941761753311513	0.01348132040203864	0.3630902594710982	105.0	0.49373423651892406	0.3247120955731889	0.3397090653022725	-0.01639576757984513	0.5194365245865811	42.0	0.7259806587284534
ZNF143-1	0.0444158364051249	0.035310914039964246	0.009104922365160648	0.061305667373110065	112.0	0.15209365354379864	0.046949556580493025	0.028379768039592506	0.018569788540900512	8.869773908199662e-05	105.0	0.000515684529546492	0.04717982730021	0.031979665662813586	0.015200161637396431	0.07895791530675242	43.0	0.26839192610443413
ZNF143-2	0.23695956372430757	0.249284146294592	-0.012324582570284428	0.20455993792002547	112.0	0.3723490667549504	0.23133468904211504	0.24124137262398176	-0.009906683581866698	0.5132744154516355	105.0	0.6297845588363626	0.26945157856882823	0.26107108458388567	0.008380493984942573	0.4328350866492201	43.0	0.6575328791203569
ZNF143-3	0.0012113042297774502	0.0011984993135153328	1.2804916262117078e-05	0.8652111727549715	112.0	0.932896792379608	0.0007472979908283513	0.0010186533788255198	-0.0002713553879971685	0.5202133776633694	105.0	0.6351811693081434	0.0008019459033012026	0.001258872014483214	-0.00045692611118201154	0.6566419342620566	43.0	0.8155402913295658
ZNF148-1	0.0005845305971760981	0.0	0.0005845305971760981	0.007685794055213263	112.0	0.02699085252386341	0.0018915659293136477	0.0	0.0018915659293136477	0.00019643672621231134	105.0	0.0010712787152541358	0.0009779627556822765	0.00019799931610643343	0.0008038161897144351	0.046399461870904594	41.0	0.18695588051398632
